1964   37.9   43.4   87.2   74.1   83.3   66.5   96.4   83.2   56.3  113.5  110.6  232.2
1965  173.8   14.4   96.1   85.2   90.4  121.6  109.3   84.0  160.9   69.3  131.1  311.3
1966   82.8  170.3   72.6  138.4  103.9  109.3   89.1  100.6   79.5  166.7  127.0  212.1
1967  105.7  155.2   75.7   47.7  179.2   40.7  112.5   96.8  181.8  303.5   97.0  143.1
1968  159.8   48.1  115.2   86.4  100.3  108.2  106.7   73.8  164.8  147.8   93.4  110.5
1969  166.6   93.4   75.1   81.2  152.4   82.3   49.1  101.2   56.4   42.1  185.1  143.2
1970  168.4  141.7  103.4  139.6   29.2   69.5   97.6  114.1  100.0  140.2  253.2   71.2
1971  172.1   69.1   92.6   58.7   54.2  123.8   56.5  149.9   43.7  124.7  144.7   66.4
1972  145.5  115.8  113.1  120.4  117.5  128.8   77.6   65.2   45.9   65.0  173.2  194.6
1973   73.8   85.2   51.2   87.6  110.7   32.5   99.9  123.0  126.7   77.6  114.1  126.3
1974  259.5  172.0   61.5   13.9   69.5   77.1  128.8   94.5  230.2  120.5  171.8  162.4
1975  219.6   48.4   77.3  101.5   36.2   22.2  100.6   69.1  135.0   66.1  123.6   88.8
1976  104.5   73.4   78.6   28.0   88.8   23.3   40.5   18.0  200.5  206.0  119.1  107.9
1977  134.0  216.5  112.0   85.4   55.3  100.9   36.1  100.8   87.0  145.9  201.8  140.0
1978  152.7  113.6  126.2   68.8   32.7   68.1  118.3   86.6   80.8   35.0  140.0  209.5
1979  124.2   68.7  169.8   83.1  148.0   32.3   35.9  132.8   83.4  123.5  174.2  267.5
1980  113.8  152.3  147.7   16.7   40.6  131.5   72.5  122.0  103.2  186.9  165.0  160.5
1981   89.7   87.6  278.7   51.3  116.3   67.9   55.4   38.3  230.3  229.5  125.2  120.1
1982  140.3   97.2  163.6   35.9   44.9  126.6   42.5  123.6  148.2  165.5  221.4  188.5
1983  207.8   53.2  106.3  110.7  137.7   57.5   30.0   75.1  178.6  158.5   70.6  174.9
1984  218.9   92.6   48.9   11.8   50.8   44.5   30.9   74.6  173.5  183.4  216.7  144.2
1985   90.5   51.4   98.7  113.0   72.2  138.0  100.0  205.2   65.1   98.3  118.0  209.9
1986  189.3    7.4  130.3  107.2  117.9   57.1   88.2  153.8   18.0  150.0  236.0  265.4
1987   39.5  106.1  142.4   84.9   47.9  123.8   75.2   67.2  108.7  253.4  130.8  143.6
1988  241.5   99.4  173.4   56.8   98.5   44.3  172.5  149.7  117.5  127.7   71.4   78.1
